dataset cartas;carta1;carta2;carta3;energy;Pd;Pn
;22745;22778;33.25;;22778;6953
;22979;25555;34.59;;25555;5042
;22723;23072;40.85;;23072;5054
;23646;22031;47.85;;22031;6960
;22399;21884;44.61;;21884;6966
;22013;23374;43.17;;23374;6970
;22771;21702;52.75;;21702;6953
;23894;22943;49.47;;22943;6945
;24300;24836;46.17;;24836;6942
;24566;24230;47.12;;24230;6944
;24834;22782;51.12;;22782;6942
;23068;23112;40.53;;23112;6972
;23067;21264;39.41;;21264;6978
;24929;23677;42.73;;23677;6964
;24953;23977;43.12;;23977;6964
;24662;24433;42.83;;24433;6976
;25122;24485;42.68;;24485;6977
;24770;23481;47.65;;23481;6973
;23826;22238;46.84;;22238;6965
;23699;23109;42.48;;23109;6960
;25456;27548;40.45;;27548;6977
;25355;24963;45.12;;24963;6961
;23292;27941;40.59;;27941;6075
;24234;28785;48.62;;28785;4684
;24699;25729;48.78;;25729;7115
;23508;26002;48.93;;26002;7093
;21026;23203;49;;23203;5085
;24533;22486;51.46;;22486;6391
;25522;23203;52.47;;23203;6977
;24269;23628;43.35;;23628;6959
;25896;24600;44.99;;24600;6948
;20991;22266;45.37;;22266;6597
;23769;32345;43.03;;32345;5044
;21664;25844;41.9;;25844;5058
;25468;25065;41.63;;25065;6961
;24121;24866;40.4;;24866;6976
;23405;24785;41.85;;24785;6997
;23515;24164;39.52;;24164;7020
;23084;22719;45.64;;22719;7035
;21367;21591;43.61;;21591;7038
;21510;21277;39.9;;21277;7030
;23324;23643;42.75;;23643;7024
;23446;22286;44.05;;22286;7014
;23379;21871;46.81;;21871;7011
;23649;21933;43.9;;21933;6999
;22954;22630;52.75;;22630;6997
;21376;21053;41.07;;21053;7002
;21379;20137;44.16;;20137;7000
;23174;20647;41.91;;20647;6999
;23701;24236;37.77;;24236;6995
;23322;23498;38.24;;23498;7009
;23352;22518;43.28;;22518;7014
;22105;29373;46.4;;29373;6085
;23936;30120;47.07;;30120;5058
;24792;30172;46.1;;30172;7111
;21778;28723;53.63;;28723;7089
;22289;24597;46.47;;24597;5088
;24579;22796;53.74;;22796;6695
;24020;22229;56.62;;22229;6970
;24010;27976;53.58;;27976;6950
;25166;23132;47.75;;23132;6970
;21267;22612;45.89;;22612;6855
;23289;26297;55.06;;26297;5044
;22565;23901;51.13;;23901;4999
;21135;23296;52.38;;23296;7025
;21933;25201;51.9;;25201;7013
;21737;22286;50.34;;22286;6685
;20346;22782;47.34;;22782;6688
;20972;20323;54.61;;20323;7034
;22666;22881;51.64;;22881;7037
;22680;23577;51.7;;23577;7036
;22553;25494;55.61;;25494;7032
;22627;26343;53.14;;26343;7039
;22490;22678;55.77;;22678;7027
;20847;28441;44.68;;28441;7000
;20896;23528;46.57;;23528;6992
;22504;23657;47.94;;23657;7000
;22655;22192;53.11;;22192;6985
;22530;24356;50.33;;24356;6975
;22800;22884;49.61;;22884;6971
;22300;22014;55.28;;22014;6029
;20390;21569;58.75;;21569;6033
;20617;21125;54.83;;21125;6037
;23084;28555;51.41;;28555;6075
;25274;29044;57.1;;29044;5078
;26117;27561;61.98;;27561;7113
;22742;27523;58.75;;27523;7093
;23391;25375;56.02;;25375;5091
;25212;24177;49.23;;24177;7003
;25956;24370;51.22;;24370;6959
;24760;26979;53.54;;26979;6982
;24626;22106;47.21;;22106;6957
;23311;23939;56.43;;23939;7015
;24896;24111;59.62;;24111;5044
;23115;22085;63.99;;22085;4699
;22784;21215;61.49;;21215;5037
;22291;26979;52.09;;26979;5038
;24458;27826;54.16;;27826;5050
;24475;23410;60.13;;23410;5056
;24705;23366;63.22;;23366;5055
;24797;24710;54.49;;24710;5054
;24767;22923;61.56;;22923;5048
;22825;25557;50.28;;25557;5053
;22921;29574;22.5;;29574;5024
;24593;22915;62.92;;22915;5032
;24728;23947;53.92;;23947;5041
;24768;24839;54.99;;24839;5040
;25207;23502;50.88;;23502;5055
;25506;26662;49.96;;26662;5063
;23551;22981;51.23;;22981;5062
;23045;21419;53.12;;21419;5063
;25014;23988;67.78;;23988;5062
;25133;29630;52.05;;29630;5062
;24979;31110;60.16;;31110;6082
;25610;31273;71.91;;31273;5079
;26043;27267;65.35;;27267;7114
;24916;28455;50.7;;28455;7097
;23621;24989;52.37;;24989;5089
;23156;23726;67.38;;23726;7024
;27786;25404;66.41;;25404;6972
;24849;23978;57.57;;23978;6981
;24650;22889;54.56;;22889;6958
;22868;25910;55.6;;25910;7014
;24507;24048;68.89;;24048;5042
;23127;22560;63.27;;22560;4953
;25210;24079;70.56;;24079;5055
;25918;26823;58.18;;26823;5061
;25649;24935;66.35;;24935;5061
;25760;25725;58.85;;25725;5061
;25651;24617;58.31;;24617;5147
;23974;26275;54.05;;26275;5497
;24143;23491;56.76;;23491;5712
;25800;26635;59.88;;26635;6132
;25678;26503;59.14;;26503;6470
;25604;24693;64.25;;24693;6826
;24975;24403;65.73;;24403;7049
